accusations	0 0 0.0783133 0.168675 0.0722892 0.0903614 0 0.060241 0.13253 0.0662651 0.13253 0.198795 0 0 0
acquisition	0 0 0.0542169 0.180723 0.0843373 0.168675 0 0.0662651 0.108434 0.0421687 0.060241 0.23494 0 0 0
acquisitions	0 0 0.0903614 0.222892 0.114458 0.10241 0 0.0120482 0.144578 0.060241 0.10241 0.150602 0 0 0
acre	0 0.0180723 0 0.0180723 0.0060241 0 0 0.0060241 0.0060241 0 0.0060241 1.93373 0 0.0060241 0
acres	0 0 0.0060241 0.584337 0 0.0120482 0 0 0.0180723 0 0.0120482 1.33133 0 0.0361446 0
add	0 0.13253 0.849398 5.6747 0.60241 0.0180723 0.0060241 0.0060241 0.0120482 0.0120482 0.0963855 0.0120482 0.0060241 48.0964 0.475904
added	0.355422 0 0.0903614 0.186747 0.0180723 0.0481928 0.0060241 0.180723 0.0180723 16.9337 0.108434 0.0481928 0 0 0.0060241
address	0.0060241 0.0120482 0.0542169 0.0240964 0.0180723 1.28916 0.0180723 0.0120482 5.5241 0.283133 0.0783133 0.174699 1.3494 0 0.156627
advertisement	0 0.343373 0.0180723 0.162651 0 0.0120482 0.0421687 0 1.89759 0.0481928 0.0120482 2.93976 0.506024 0.0180723 0
advertisementby	0 0.0783133 0 0 0.0301205 0.0060241 0 0 6.86747 0 0.0180723 0 0 0 0
advertisementmr	0 0.0120482 0.0662651 0.0120482 0.0120482 0.162651 0 0.0421687 0.759036 0.114458 0.536145 0.283133 0 0 0
advertisementthe	0 0.0240964 0 0.0060241 0.0060241 0.0060241 0 0 4.91566 0.0180723 0.0120482 0.0120482 0 0 0
advocates	0 0 0.0481928 0.620482 0.0120482 0.216867 0.0180723 0.114458 0.554217 0.0903614 0.138554 0.186747 0 0 0
affected	0.0240964 0.0060241 0.0481928 1.46386 0.0060241 0.180723 0.0240964 0.0060241 0.0060241 0.487952 0 0.662651 0 0 0.0843373
agreed	0.0963855 0.0240964 0.0060241 1.35542 0.0421687 0.210843 0.0060241 0.240964 0.0120482 0.710843 0.0783133 0.933735 0.240964 0.0240964 0.0180723
allowing	0 0.0542169 0.0060241 5.85542 0.0301205 0 0 0.0120482 0.0060241 0 0.0120482 0.0180723 0 0.0060241 0
almanzar	0 0 0.0843373 0.180723 0.108434 0.144578 0 0.0542169 0.108434 0.0421687 0.0843373 0.192771 0 0 0
america	0 0.0060241 5.01807 0.512048 0.0180723 0.162651 0.0060241 0 0.0301205 0.0060241 2.87952 0.0481928 0.0843373 0.198795 0.0301205
ammon	0 0 0.10241 0.168675 0.0481928 0.10241 0 0.0783133 0.114458 0.0542169 0.114458 0.210843 0.0060241 0 0
amount	0 0.0060241 0.0180723 0 0 0.0060241 0.0301205 0 0 0.0240964 0.108434 8.79518 0.0060241 0.0060241 0
angry	0.0301205 0.0060241 0.0060241 0.0301205 0.0060241 0.0120482 0.0120482 0.295181 0.319277 0.144578 0 1.13855 0 0 0
announcement	0 0 0.0722892 0.186747 0.0783133 0.10241 0 0.0783133 0.13253 0.0662651 0.0722892 0.210843 0 0 0
apopka	0 0 0.0722892 0.204819 0.0903614 0.108434 0 0.0481928 0.120482 0.0783133 0.0783133 0.198795 0 0 0
approve	0 0 0.108434 0.156627 0.0481928 0.13253 0 0.0722892 0.13253 0.0481928 0.114458 0.186747 0 0 0
approved	0 0 0 1.55422 0 0.391566 0 0.0060241 0.246988 0 0.0240964 0.740964 0 0.0060241 0.0301205
area	0 0.746988 0.0240964 0 0.0060241 0.150602 0.807229 0.0180723 0 17.7289 0.0722892 0.379518 0.0060241 0 0.060241
arrived	0.0361446 0.060241 0 0.0180723 0 0 0.0240964 0.0060241 0.0240964 1.34337 0.060241 3.42771 0 0 0
assets	0 0 0.0783133 0.180723 0.0963855 0.120482 0 0.0481928 0.120482 0.060241 0.120482 0.174699 0 0 0
assume	1.28916 0.0120482 0.0542169 0.0361446 0.0180723 0.253012 0 0.343373 0.53012 1.21084 0.993976 0.0843373 0.0060241 0.144578 0.0240964
awe	0 0 0.0963855 0.10241 0.060241 0.10241 0 0.0481928 0.180723 0.0783133 0.138554 0.192771 0 0 0
back	3.5 0.186747 1.80723 0.0301205 0 4.28916 1.81928 0.0060241 0.0060241 13.1084 0.319277 2.20482 0.0120482 0.650602 0.060241
backdrop	0 0 0.120482 0.10241 0.10241 0.138554 0 0.0301205 0.108434 0.0542169 0.114458 0.228916 0 0 0
bailing	0 0 0.060241 0.174699 0.0843373 0.138554 0 0.0361446 0.138554 0.060241 0.108434 0.192771 0.0060241 0 0
bargain	0.0180723 0 0.0120482 1.07831 0.0481928 0.0120482 0.0180723 0.560241 0.0301205 0.13253 0.0120482 0.0301205 0.0060241 0.0421687 0
battling	0.0060241 0 0.439759 0.421687 0 0.174699 0.0180723 0 0.0843373 0.120482 0.0481928 0.63253 0.0481928 0 0.0060241
bay	0 0 0.283133 0.801205 0.253012 0.13253 0.0120482 0.0180723 0.222892 0.0722892 0.0301205 0.120482 0.0361446 0 0.0180723
benefit	0.216867 0 0.0060241 0.0361446 0 0.0060241 0.0301205 0 0.0120482 0.0542169 6.60241 0.0180723 0 0.0180723 0
bid	0.0060241 0 0 0.0783133 0 3.4759 0.0180723 0.0421687 1.15663 0.0240964 0.0903614 0.0361446 0.0481928 0.0240964 0
biggest	0.0060241 0 0.0783133 0.0180723 0.0903614 0.0180723 0 0.0060241 0.0120482 0.192771 5.83735 1.73494 0.0060241 0 0
bilked	0 0 0.0963855 0.180723 0.0542169 0.150602 0 0.0361446 0.126506 0.0662651 0.120482 0.168675 0 0 0
bills	0 0 0.216867 0.608434 0.0060241 0.313253 0 0.0783133 0.156627 0.0301205 0.240964 0.289157 0.0240964 0 0.0361446
birds	0 0 0.0783133 0.186747 0.0542169 0.120482 0 0.0662651 0.174699 0.0783133 0.0722892 0.168675 0 0 0
